Name,Gender,Age,Income,Expenses,Savings,FinancialGoal,RiskAppetite,ESGScore,SustainableInvestments,EducationLevel,EmploymentStatus,InvestmentHorizon,EthicalConsiderations
Joel Lee,Male,55,70207.31797468351,17044.014703199602,7828.752263606114,157756.20795778447,0.6413126527901719,22.818200393016873,No,College,Self-Employed,Long Term,Governance
Jonathan Miller,Male,49,93338.95126402852,33700.780367256506,21624.583345136343,68531.63252531503,0.5834314415338177,80.17686786414895,No,High School,Self-Employed,Medium Term,Social Responsibility
Steven Trevino,Female,51,37029.24499326962,42248.40901437553,6926.3798377391095,67124.74082361166,0.22214385704162232,41.34094187469785,Yes,College,Self-Employed,Medium Term,Social Responsibility
Amy Boyle,Female,60,80775.18500461272,37905.0625439832,14304.833362287543,117409.76270370827,0.9356650767258936,40.93093193923328,No,College,Unemployed,Short Term,Governance
Christine Williams,Female,37,35558.22428010154,46559.200165141374,45847.67416578323,104441.50837358818,0.27792716917183746,45.87530639159719,Yes,Graduate,Self-Employed,Medium Term,Governance
Anita Carter,Male,20,79288.43238398383,11128.262789086362,21256.311405183296,128572.59590992233,0.022548646357577584,85.2390479416812,Yes,College,Employed,Medium Term,Environmental Impact
Hannah Schultz,Female,32,75493.83504833363,38022.432134056726,26135.340305459402,107613.10613923575,0.5384122941602124,79.4607346372296,No,College,Employed,Short Term,Environmental Impact
Crystal Campbell,Male,43,81543.15068050782,47902.34940280061,25458.955240769978,168659.98913555377,0.44545808193879854,36.17743696551044,No,Graduate,Self-Employed,Medium Term,Environmental Impact
Anthony Aguirre,Female,56,43486.71432441729,32544.259471327747,7089.685587553015,126749.96772267579,0.6715577763141967,2.9762927014966967,No,High School,Self-Employed,Short Term,Governance
Laura White,Female,21,59530.58739679858,32524.355634560736,49126.5401928396,192463.0833714079,0.0873769370901547,14.558430589848648,No,High School,Unemployed,Medium Term,Environmental Impact
Michael Barnett,Male,18,76830.73870663083,17529.34659621025,19583.19995287899,106801.79471188696,0.5117875217975945,0.9948713463736492,No,High School,Employed,Short Term,Governance
Bryan Maddox,Female,31,40461.60199661978,49520.24841618572,36668.13137814301,107091.05138917202,0.19445003934551297,80.62468656700007,No,Graduate,Self-Employed,Medium Term,Social Responsibility
Joshua Reed,Female,37,48486.133698542544,45265.05439591041,28461.780686009777,165239.04856765823,0.3177578121660044,94.36428403078108,No,High School,Unemployed,Medium Term,Environmental Impact
Isabella Ayala,Female,31,82483.29105969158,29689.06895581621,42334.12200441426,186837.91682331986,0.6050778218474674,8.477821453141887,No,College,Employed,Long Term,Environmental Impact
Marilyn Booker,Male,26,38184.7480006519,22362.122886048783,42569.251979782704,134823.73677712536,0.9434021641019553,31.480457187928902,Yes,High School,Unemployed,Long Term,Social Responsibility
Emily Dickson,Male,34,75933.7818629551,29617.45680509917,16849.2231222869,148929.55109030657,0.908446950217831,98.19449243871318,No,College,Unemployed,Short Term,Environmental Impact
Sheena Klein,Female,36,102782.28748595134,13610.295074036114,29495.752793976713,72513.46017657677,0.36106486914722613,16.43246817147156,Yes,College,Unemployed,Medium Term,Social Responsibility
Tammie Rose,Male,38,70808.90701618037,19304.934323329566,12823.241740090252,180322.78062173058,0.1479459383783025,6.1468328485386525,No,Graduate,Employed,Short Term,Governance
Elizabeth Mcdowell,Male,25,76192.30588814773,18752.35766766309,34415.389091024794,76830.0147009903,0.8538040699633991,75.91923850558231,Yes,College,Unemployed,Long Term,Environmental Impact
Ethan Anderson,Male,18,71111.86281406885,31057.940565940436,21438.355009597144,156807.12318194337,0.3696299671092079,66.01761722752366,Yes,High School,Employed,Short Term,Governance
Amber Hicks,Female,49,35196.31028392723,10027.339855353232,34400.14459505824,112937.25368536508,0.3728311509802251,64.146575444156,Yes,High School,Employed,Medium Term,Governance
Timothy Delacruz,Male,65,71614.04751650314,46715.84743682586,42596.108045449,96427.74581554727,0.28465036559790524,90.25111315738951,Yes,Graduate,Self-Employed,Long Term,Social Responsibility
Michael Miller,Female,45,102622.38172989532,18058.575334085646,28249.83038992724,165294.56335414137,0.3513550334281127,5.780982954601177,Yes,College,Employed,Long Term,Environmental Impact
Alexandria Murphy,Male,29,95095.2071842502,15219.581824767303,21934.795146959532,116938.73512236087,0.9775236282168033,63.16075621548821,No,Graduate,Employed,Medium Term,Governance
Brian Hatfield,Male,26,65635.38389579317,38677.505307632644,45825.90919010688,143967.9274492294,0.874301735766478,71.33695170214084,No,College,Employed,Short Term,Governance
Cheryl Whitaker,Female,42,103480.79033398174,46751.23149228824,28236.730197540663,67633.09676037198,0.08759863090288,66.03616317794719,No,High School,Unemployed,Medium Term,Environmental Impact
Sarah Allen,Female,52,97122.40345486341,43771.36345750603,20880.410349187656,69735.65477181286,0.7278533569559817,51.977836320296774,No,High School,Employed,Short Term,Social Responsibility
Sharon Dennis,Male,63,82048.01385531318,22943.552452193486,44047.373984206126,80427.75579191695,0.44422036216801153,29.572442486364615,No,College,Self-Employed,Medium Term,Social Responsibility
Nathan Cooper,Female,32,34076.08224550459,10876.515849742891,26908.770320337902,143384.04919810125,0.9925971658200753,40.200281803148116,No,High School,Self-Employed,Medium Term,Governance
Trevor Meza,Female,50,61007.59799059211,33464.36700364838,26694.95403709067,87966.64626770589,0.8036855045147565,68.08706574200868,No,High School,Employed,Medium Term,Social Responsibility
Cindy Martinez,Male,53,35738.39209008749,46688.965899244744,32189.494112855908,118796.3986742805,0.28863401833020397,55.36104282255945,No,College,Self-Employed,Medium Term,Environmental Impact
Jordan Cole,Female,60,119471.12944292281,40974.65995279568,27582.66430118338,178311.65846285474,0.805672785103326,30.43230229731726,No,College,Employed,Short Term,Social Responsibility
Joshua Lopez,Male,40,114112.45189964518,43859.235503165386,11253.573818470846,131525.17394064504,0.970360673202005,74.26975020296516,Yes,College,Self-Employed,Short Term,Social Responsibility
Katelyn Cooley,Male,22,36211.72315442824,44426.77866366203,12452.262009304646,50862.58233485809,0.42383219844554,90.92308532011312,No,College,Employed,Long Term,Governance
Joshua Coleman MD,Female,43,114039.80063264376,48422.350011030314,8468.970158356107,182405.4380805792,0.8964288265570535,0.7902233503785383,Yes,College,Unemployed,Short Term,Governance
Amy Gilbert,Male,65,32856.13839207711,24943.631203334928,33956.46510747394,85681.75310292152,0.13956768688195587,27.978074476278213,Yes,College,Unemployed,Short Term,Environmental Impact
Ian Church,Male,20,66798.02422373235,47676.928538721666,14518.269686108964,138329.3490776464,0.5871800675834395,52.779173560739345,No,Graduate,Unemployed,Long Term,Governance
Allison Reilly,Male,45,99207.48563251345,25823.82249415417,13410.755411394543,121356.79847047308,0.08607797431677044,92.04505916451052,Yes,College,Self-Employed,Long Term,Social Responsibility
Kathryn Montes,Female,19,98924.49146313405,14041.286807227454,21300.0324896791,111522.70485670345,0.2077837907018597,70.02950638826047,Yes,Graduate,Self-Employed,Short Term,Environmental Impact
Daniel Wells,Female,47,118049.9956431691,22070.606149018764,37278.62188043429,61910.737605262424,0.4746131300060631,44.61890507033418,No,Graduate,Unemployed,Short Term,Environmental Impact
Amanda Beck,Male,22,88129.2736287447,15458.066754299602,10324.86002705942,140015.31564433838,0.8675258198775428,20.51335713832062,No,College,Self-Employed,Short Term,Environmental Impact
Desiree Krueger,Female,38,67832.5744994095,16300.155440673832,15365.584966969605,86706.97571579501,0.9866383473233635,54.44252910044764,No,High School,Unemployed,Long Term,Environmental Impact
Laura Huerta,Male,54,119357.0938722791,47947.741281052935,41502.7683217832,132101.24143747194,0.06611578116679928,78.83415789767166,No,Graduate,Employed,Short Term,Governance
Matthew Bowman,Female,45,64423.16569662349,41673.700999994864,37411.504649372706,142964.90583043778,0.960095298220805,65.20370873968588,No,High School,Unemployed,Short Term,Environmental Impact
Cynthia Butler,Female,54,108265.82567796376,48426.48401474953,26668.249222526876,133632.2972403333,0.7561140535456866,69.74709655735687,Yes,College,Employed,Long Term,Environmental Impact
Carrie Hall,Female,43,111609.05803721154,35967.21062579256,26546.658922403694,173787.8757055524,0.08844827865525229,88.76748965071967,No,College,Employed,Long Term,Social Responsibility
Karen Wilson DDS,Male,63,63808.098042178884,16968.106838221225,14481.677797329354,57337.81999145446,0.4094606387526243,78.15630931314602,No,Graduate,Employed,Medium Term,Governance
Alicia Cook,Male,58,91445.73186913872,48749.71585332671,12256.08169381816,72238.42522695355,0.9144104963043992,40.45057056501532,Yes,College,Self-Employed,Long Term,Governance
Gail Lewis,Female,44,89561.32843129213,37742.41593170172,42501.424837786435,147991.53173232806,0.4145140139378086,19.72957542611262,Yes,Graduate,Self-Employed,Medium Term,Environmental Impact
Jacob Johnson,Female,36,78537.02375269742,47153.80835941702,6010.071716943111,55508.1577733618,0.5558138449648019,30.15314123353431,No,Graduate,Self-Employed,Short Term,Environmental Impact
Matthew Martinez,Male,25,88818.06885768319,41479.67170382307,6941.4949100824415,178074.39308512816,0.7102470067733252,3.697017235631861,Yes,College,Unemployed,Long Term,Environmental Impact
Kendra Howard,Male,43,61299.28984252352,18929.488559225698,30806.893010852073,150049.48144192924,0.7552437477921852,33.44929247349019,No,Graduate,Unemployed,Long Term,Environmental Impact
Kristin Walsh,Female,19,46062.62661037005,33558.00623132414,12250.81131653921,175702.1653688909,0.13692703991575206,72.50986823356192,Yes,Graduate,Employed,Short Term,Governance
Amanda Phillips,Male,38,78353.26377582012,17014.06519960883,33329.319119966975,94766.23199631766,0.186006418111054,74.005222231057,Yes,High School,Self-Employed,Short Term,Social Responsibility
Alicia Tucker MD,Female,28,77595.82855896084,22272.92917191832,6763.58893577676,188057.70474043043,0.38176953263180824,12.60056459938712,No,College,Employed,Long Term,Social Responsibility
Christopher Hernandez,Male,57,95507.23268155153,37539.937583958286,30752.118465370906,57354.70441231986,0.5538669265105248,99.19239695429073,No,High School,Employed,Medium Term,Environmental Impact
Benjamin Watkins,Female,47,50042.119436963985,15093.93458894142,7516.040187219987,112543.53857830373,0.04223291443883781,28.392785946827015,Yes,Graduate,Self-Employed,Medium Term,Governance
Dr. Christopher Moore Jr.,Female,62,30312.5965450417,39153.23823743996,16621.684070751882,76737.25876361341,0.8262483053057856,9.281956785672607,No,Graduate,Self-Employed,Short Term,Environmental Impact
Ashley Ponce,Male,41,32046.179458976992,47951.52416885151,13101.68928093337,150813.57428921072,0.8345852016300578,55.178585136124795,Yes,College,Employed,Long Term,Social Responsibility
John Berry,Male,23,56852.66898326836,47947.92639399612,48120.72514180492,141663.46340729808,0.30391437928453446,52.13358651154404,Yes,Graduate,Unemployed,Medium Term,Governance
Karen Riley,Male,45,90614.98719989104,25664.057091104078,31971.088525771836,153727.04271210002,0.5592810566712619,75.70463242805414,Yes,Graduate,Self-Employed,Long Term,Governance
Whitney Thompson,Male,24,79000.08051225188,49771.32522190522,30362.211605109434,139245.34794570794,0.4634518342056887,16.002734022901755,Yes,Graduate,Unemployed,Long Term,Environmental Impact
Angela Gonzales,Male,33,77874.02476470829,48607.35761150204,5837.901603675661,168096.13693003787,0.02684001469030639,2.7891225295657907,Yes,Graduate,Unemployed,Short Term,Governance
Kenneth Maynard,Female,45,104102.4393638206,11295.309717083497,37379.62847768399,76612.89010155192,0.0024466749580499547,79.65986992413747,No,High School,Employed,Long Term,Governance
Lisa Frey,Male,55,52276.083465339805,34095.546698038845,34778.52781831211,118300.67420303985,0.2626770235610708,59.25036017499132,No,Graduate,Employed,Short Term,Environmental Impact
Steven Cobb,Female,43,61154.37614888641,46841.528656723174,17755.45818825382,136844.94386634452,0.9560265961330772,24.133977914027106,Yes,High School,Self-Employed,Medium Term,Social Responsibility
Gerald Brown,Male,51,54808.47550156146,48701.26742463742,8858.682623108503,189721.97290790084,0.8342430713516535,77.41577871437526,Yes,High School,Employed,Short Term,Environmental Impact
Adam Jarvis,Male,23,114366.932502156,18835.810017480486,25214.15127287555,63968.943173265434,0.47254116925729006,72.65092463995954,No,College,Unemployed,Short Term,Social Responsibility
Laura Marshall,Female,43,95252.15513180266,32622.00984481282,49674.91206685905,94894.17223947702,0.6538129722022522,98.69547002410485,Yes,High School,Employed,Long Term,Governance
Amy Aguilar,Female,37,40156.01748898296,47467.51174217017,44028.60795464425,105285.41382126111,0.892686525640555,11.044190624345962,No,High School,Employed,Medium Term,Social Responsibility
Zachary Hampton,Male,65,102853.0365185275,15625.734725942735,12675.505279536332,106840.90273856901,0.4171567721618138,5.994573862540298,No,High School,Employed,Short Term,Environmental Impact
Derek Ellis,Female,39,67731.65386425769,39813.7331240793,42366.360861692636,60150.0016731493,0.49188650330002004,37.297886803564765,No,College,Self-Employed,Long Term,Social Responsibility
Joseph Houston,Male,32,98944.8120762513,19519.837005975878,32037.742148504003,114098.5759086642,0.6878431859969037,62.69895323179615,No,Graduate,Employed,Short Term,Environmental Impact
Johnathan Hanson,Male,39,109538.09596608371,49295.186197614275,40757.72316172031,132570.6624220228,0.2447502615186764,35.447334590414926,No,College,Self-Employed,Short Term,Governance
Caitlin Gomez,Male,28,31408.121672719462,16715.496670063367,41920.39310587238,93924.90700351093,0.11935466352640356,4.77328729373212,No,High School,Employed,Short Term,Social Responsibility
Danielle Martinez,Female,22,48547.34596651928,45412.81013580549,13184.786834154485,70181.86836170766,0.2772170341987179,65.09624193708824,Yes,High School,Self-Employed,Medium Term,Social Responsibility
Kari Cross,Female,50,39080.70417832563,13549.040502805054,34684.19375260339,154192.91577422014,0.9943329540686706,12.474980539632497,Yes,High School,Unemployed,Long Term,Environmental Impact
Laurie Landry,Male,58,33021.864817885275,38358.63252580898,16903.431434538037,91162.78141276,0.0667248263872513,29.79611126514917,No,College,Unemployed,Medium Term,Environmental Impact
Matthew Johnson,Male,25,83800.64070583973,35564.10751619516,37588.40591349901,129057.91001069311,0.7455655735862218,73.6858695784311,Yes,College,Self-Employed,Long Term,Social Responsibility
Erica Sanchez,Male,51,93295.76401784358,45466.14060871287,20420.207355214934,128696.93138805631,0.5810657700932466,45.31471605522952,No,High School,Self-Employed,Medium Term,Environmental Impact
Elizabeth Mullen,Male,50,34380.86891193742,27865.197363911753,25406.15653130413,154374.42460177574,0.5655745896404125,98.29505625076392,Yes,College,Self-Employed,Short Term,Environmental Impact
Michael Lewis,Female,30,96648.69706318754,20608.497622515046,31576.81959195383,141808.0617392636,0.8683459181928004,80.53875621092175,No,College,Employed,Long Term,Social Responsibility
Barry Perez,Male,40,66203.88157298157,19981.63452541115,15341.62042304509,66395.33516544894,0.627996047481245,98.90000788986222,No,High School,Unemployed,Medium Term,Social Responsibility
David Herrera,Male,40,51090.53506388055,12711.791202569351,22345.78472338314,159459.27796440193,0.47604071329726827,56.55972265798383,Yes,Graduate,Employed,Medium Term,Governance
Kyle Vasquez,Female,64,49554.22891597981,20266.317661708592,9885.655125568197,144346.78986178333,0.6942450986674487,89.43388978953615,Yes,College,Self-Employed,Short Term,Social Responsibility
Andrew Campbell III,Female,59,107735.72184030508,14321.38404858517,14105.684708967881,198078.38956378744,0.11958368400634978,62.77443518155853,No,High School,Self-Employed,Short Term,Social Responsibility
Beth Porter,Male,27,35079.96315220148,10051.246299787597,43681.626140477245,122549.44748141705,0.5125258694064413,53.32886565066558,Yes,High School,Employed,Medium Term,Environmental Impact
Jay Baker,Female,33,75350.62640468411,25437.483918136397,27696.17867318207,153298.14173815178,0.575263686608859,59.55489146250329,Yes,High School,Employed,Long Term,Social Responsibility
Jeremiah Howard,Male,24,56033.7106218527,39303.379779950745,23890.775570222275,190083.7512182275,0.8452800680662481,35.0337135040772,Yes,High School,Self-Employed,Medium Term,Social Responsibility
Dawn Reynolds,Male,27,103420.76310869852,48764.07300422741,11730.253713190523,197941.7663516167,0.1628472326819188,28.45354949453649,No,Graduate,Unemployed,Medium Term,Governance
Alexander Rogers,Female,34,95836.57348044164,45382.079903489095,9333.435952544198,93078.09557063907,0.058510393993087995,78.47892628243508,No,High School,Self-Employed,Medium Term,Social Responsibility
Crystal Scott,Male,30,58701.33267322728,29723.279738953905,26414.11334702648,141326.6910401709,0.3196811114329394,71.48544682023356,No,High School,Unemployed,Long Term,Social Responsibility
Carl Fuentes,Female,29,83812.59068495361,25148.50299097036,32663.667626616512,97473.28377477083,0.8783172644174325,67.24338020382187,No,Graduate,Self-Employed,Medium Term,Governance
Juan Barrett,Male,56,90527.87112932223,31840.958707138172,6756.645362815771,128808.6837997392,0.13549739388663662,71.43509788637289,Yes,Graduate,Employed,Medium Term,Governance
Jeffrey Smith,Male,27,58859.86038536848,14057.142385484865,40274.07056774458,199253.6503336327,0.16330885181492805,51.96666474455023,Yes,High School,Self-Employed,Medium Term,Social Responsibility
Angela James,Female,59,57158.79916297829,29179.57001588642,27649.814366230676,103078.0016561285,0.27267035365971504,24.763333130796937,No,College,Self-Employed,Long Term,Governance
Tiffany Campos,Female,22,42893.43907469958,44562.02881874308,10288.23829586467,69456.97063314539,0.4195140051562125,32.78469630811499,Yes,Graduate,Self-Employed,Short Term,Governance
Scott Jensen,Female,29,89419.11814296688,36038.78252453909,26700.84208006164,134395.15064999118,0.912104621195468,58.23690458577517,Yes,High School,Employed,Short Term,Environmental Impact
John Heath,Male,58,49893.84664014293,37486.41616868458,10864.797834972396,127955.87002767406,0.35598432308968075,82.28427229713611,Yes,Graduate,Employed,Medium Term,Environmental Impact
Jeremy Sparks,Male,49,57045.08583816777,16506.260469939534,32156.359287111973,144778.6411245254,0.28985619762289594,36.126753281287534,No,College,Unemployed,Short Term,Governance
Matthew Juarez,Male,47,35486.187339608594,12948.375582454966,42238.4800393433,123875.6680577774,0.5296123298924157,9.79878317307923,Yes,College,Self-Employed,Medium Term,Social Responsibility
Christopher Cobb,Male,54,115366.82295240492,43830.499360982416,45363.602878138925,76986.0847484287,0.9363170197369656,71.16404207474896,Yes,High School,Unemployed,Short Term,Environmental Impact
Alexander Martinez,Female,55,109174.25018674947,21796.344524645207,39869.16903805115,141410.8636595923,0.5138664930598053,82.84376294318805,No,Graduate,Self-Employed,Long Term,Governance
Michael Baker,Female,46,112041.989905849,22748.6763182663,34215.42807979402,156288.06012550896,0.7664424376787986,8.194716343468878,Yes,High School,Employed,Short Term,Governance
Pamela Juarez,Female,61,86339.3823883497,48066.485257364824,28491.990334769936,196888.64893491054,0.18324749741471835,6.219367254441021,Yes,Graduate,Self-Employed,Short Term,Environmental Impact
Wendy Williams,Male,54,68448.05240650891,12968.016070666374,21666.985261195106,50237.13758387468,0.0945086523798293,88.85092968498417,Yes,Graduate,Employed,Long Term,Governance
Candace Cowan,Female,59,74605.87087437189,16804.208126047626,6954.722750141666,53598.019627726404,0.7526285064752095,47.625307153749766,Yes,High School,Self-Employed,Short Term,Social Responsibility
Diana Grant,Female,58,117506.12118093173,25018.315363199854,28841.74335228675,143819.111358448,0.5437123352483425,44.6164087042754,Yes,College,Employed,Medium Term,Social Responsibility
Karen Jones,Female,57,114742.77688487206,39279.403410852676,15326.881537057257,67688.85858819078,0.8724431344584407,36.929421631114515,Yes,Graduate,Unemployed,Long Term,Governance
Allison Middleton,Female,38,90420.827227115,31881.850344489256,41103.50882035162,177210.468285528,0.8268219966068482,52.625560315514875,No,High School,Self-Employed,Long Term,Governance
Eugene Smith,Male,58,100722.41363824662,45924.96692479894,40530.001331792955,169934.6526883259,0.6849671512833029,58.82394578976068,No,High School,Unemployed,Long Term,Social Responsibility
Rachel Brown,Male,38,58686.1011584681,13724.187415227465,22155.642328957478,199848.05108751962,0.30107230895354575,51.89449994178468,No,High School,Unemployed,Long Term,Environmental Impact
Brianna Jenkins,Female,27,67469.21700793001,33761.22176208379,31507.163876354294,112106.17092865577,0.6854437194613181,39.478247517358355,Yes,College,Self-Employed,Long Term,Social Responsibility
Sabrina Medina MD,Male,46,43429.58470426474,34545.78903115576,38362.73190270102,100068.83854007353,0.6883466419765553,26.36937095545513,Yes,High School,Unemployed,Long Term,Governance
Peter Petersen,Female,22,63881.41696564188,29309.471459539127,39269.26521713714,134062.32573767396,0.09583340983405941,49.8827305707791,Yes,High School,Self-Employed,Medium Term,Governance
James Graham,Male,48,97897.44875143128,11239.728162087,36351.842142086,145625.53153820848,0.5800466414662403,42.34221949913485,No,High School,Employed,Short Term,Governance
Jacqueline Washington,Male,46,72616.6938370998,47697.690324078554,9397.260875605218,51694.59019670446,0.8233148168304377,44.00799549297828,Yes,High School,Unemployed,Medium Term,Governance
Wendy Duncan,Female,58,106440.68390340364,16599.887790476565,11024.739753107062,80178.07083951353,0.012897663838784656,93.10356076644362,No,High School,Employed,Long Term,Social Responsibility
Jennifer Padilla,Female,37,57066.2776915633,45590.13081616174,26471.3556652043,92244.00548758078,0.518170746277405,48.954106667426935,Yes,Graduate,Unemployed,Short Term,Environmental Impact
Mark Martinez,Female,35,93681.9117739175,16284.151093231363,15463.080078019506,168529.32542693173,0.37301419510549183,97.32724831769045,No,College,Employed,Long Term,Governance
Larry Gomez,Female,55,102519.85439413982,14050.312438933426,43657.396128563516,96165.88238658456,0.4848990247547217,82.38118303033916,Yes,High School,Employed,Long Term,Environmental Impact
Janice Jones,Male,21,112326.70564343149,18222.019068717484,17747.000060403014,126003.44406440138,0.34031309128483656,14.43461813463709,No,High School,Employed,Short Term,Social Responsibility
Ebony Hoffman,Female,40,80614.73546282182,17599.37030353542,44454.4840936951,98588.57590746052,0.9107879784928943,12.712397787544427,Yes,College,Employed,Medium Term,Environmental Impact
April Robbins,Male,50,117100.7569691964,37887.86815229428,23389.101710924682,50919.689365293925,0.10241785807815351,71.11505676635564,Yes,Graduate,Employed,Long Term,Social Responsibility
Erik Moore,Female,22,80155.80823793457,38881.524183027024,13505.945617304182,152875.3682970437,0.15455491470830807,12.938518798374975,No,High School,Employed,Short Term,Social Responsibility
Philip Stanley,Male,37,42068.34759531702,39198.9602268116,36911.69767427485,101204.23778450041,0.2211135017244037,70.4524684795629,No,Graduate,Unemployed,Short Term,Environmental Impact
Michele Cunningham,Female,47,51857.26644806271,20610.59077399906,40524.01170373062,158659.49642165177,0.188416784965297,86.32716575945996,Yes,Graduate,Self-Employed,Short Term,Environmental Impact
Juan Kerr,Male,46,48300.305975404895,21260.92293781061,31009.421561020077,142399.00144947262,0.8970567327637613,11.805815767102468,Yes,Graduate,Employed,Long Term,Governance
Jacqueline Odonnell,Male,20,88203.52663931502,19501.931397889828,10302.287179151797,54367.60727171909,0.6134283594016195,21.264253896051923,Yes,College,Employed,Long Term,Governance
Erika Montgomery,Female,21,113000.34940601,11985.417721540394,5323.732360276166,76344.36323569965,0.8314161818660438,47.335556173777114,No,College,Unemployed,Long Term,Governance
Angelica Lynch,Female,41,106242.00473276507,32870.79231430966,34454.57543614389,99577.2248139515,0.5256528246854971,74.64963060381984,Yes,College,Employed,Long Term,Environmental Impact
Tracy Lynn,Male,36,38321.759687417725,43594.18019382604,35949.503154999926,100690.52829103146,0.5320956536572212,94.40695610569915,Yes,Graduate,Self-Employed,Long Term,Social Responsibility
Daniel Strong,Female,22,95212.62410764817,16143.597380669367,19215.57715831718,150870.9436049032,0.551112828420586,36.933205963445715,Yes,College,Employed,Long Term,Environmental Impact
Jacob Hernandez,Female,59,47143.34565876645,24433.156849090923,21302.140539856584,187424.45797603627,0.7563067436410508,95.18217527774428,Yes,College,Unemployed,Medium Term,Social Responsibility
Kenneth Moon,Male,23,54161.54290694831,27104.23829782854,11965.036125281611,169588.15757433872,0.11396673632671128,60.16002137386634,Yes,Graduate,Unemployed,Long Term,Governance
Stephanie Hamilton,Female,57,90630.47285711206,21781.977958648593,34320.91706500693,146847.83309968622,0.46049135860823953,40.86198591465961,No,Graduate,Unemployed,Long Term,Social Responsibility
Anita Edwards,Female,56,84262.98404901683,36480.809040394706,16413.472680439278,122224.32846805411,0.07640032557074461,12.086642808903726,No,High School,Self-Employed,Short Term,Social Responsibility
Ebony Curtis,Female,50,108625.84126405856,34008.62112055075,43473.96168205678,144080.07315615332,0.8188447440507423,57.17647544264091,No,College,Self-Employed,Long Term,Governance
Meghan Wright,Female,42,46934.69645394798,17986.992030437854,24060.269634501343,183808.74901848772,0.9234097526772275,4.028214158697052,No,High School,Self-Employed,Short Term,Social Responsibility
Bryan Mcdonald,Female,47,98552.6775783489,11029.42770926743,21453.984249641228,130545.13174585468,0.4795182298735522,15.330451069580175,No,High School,Employed,Long Term,Governance
Brian Compton,Female,55,95187.47158669343,16833.28766768892,17400.224429599497,100266.44818015778,0.31157346584685663,37.146735418531726,No,High School,Employed,Medium Term,Governance
Tanner Hawkins,Male,53,80296.54286452745,21672.4586418443,35627.25672785518,167598.3549812808,0.3625685657487361,99.1020101118533,No,Graduate,Unemployed,Long Term,Environmental Impact
Krystal Gomez,Male,65,73145.47858238233,13277.443788519693,38973.735527442506,112092.95980012786,0.8170387032772444,30.32600827066696,No,High School,Unemployed,Long Term,Social Responsibility
Angel White,Female,20,108252.64663720841,43750.76297387746,23595.26712331714,161387.69692483052,0.8897263853816817,48.59255405364765,No,Graduate,Self-Employed,Long Term,Governance
Samantha Newman,Female,46,59966.787973693914,22334.136004709173,40270.47876335919,175265.8603948428,0.5976486394041859,79.1203701070468,No,High School,Self-Employed,Medium Term,Environmental Impact
Jasmin Jackson,Male,54,116131.77844740059,25898.69394032492,26711.049065309628,94901.5619959041,0.7635895458617169,14.213980573261153,Yes,Graduate,Employed,Medium Term,Governance
William Maynard,Female,59,31380.033560564356,29563.87248482629,21659.583599561614,158744.62315238744,0.34204512962853273,58.96242441367877,No,High School,Employed,Medium Term,Social Responsibility
Suzanne Clark,Female,30,114344.3786882023,36441.602189840196,29971.011033424784,97325.42621550395,0.7098948829225022,4.865104658023,No,High School,Employed,Short Term,Environmental Impact
Sarah Chavez,Male,38,116586.98005030131,13645.475102027169,16419.99404492133,130382.82135730806,0.028759537223430054,89.425292838487,No,College,Self-Employed,Long Term,Environmental Impact
Eric Munoz,Female,56,40558.457949900105,31765.041168787215,18799.388900356753,81239.37052942548,0.8145741084113485,88.90572062394195,Yes,College,Unemployed,Medium Term,Social Responsibility
Jonathan Garcia,Female,48,119961.48063160304,17395.24882168189,20496.033689668413,152823.9950519643,0.22235784775551015,21.55814557006741,No,Graduate,Self-Employed,Short Term,Social Responsibility
Wendy Rogers,Male,50,73102.87887081291,45419.70770998156,36747.25735869883,169930.30002287004,0.8568152091968375,81.91250692282641,No,College,Unemployed,Medium Term,Social Responsibility
Karen Mccarty,Female,27,51833.38636611674,24776.0665972778,38110.20937720748,183204.42042773528,0.14235933637654152,48.87936562455128,Yes,Graduate,Unemployed,Short Term,Social Responsibility
Jerry Dixon,Female,21,84396.1380670903,27831.010831778323,43474.95152706186,103039.33106312121,0.22657443067005512,12.232790550244822,Yes,Graduate,Self-Employed,Medium Term,Governance
Sharon Gross,Female,46,48406.18286801044,20531.83866731537,34667.72821067914,195441.99386533897,0.12534418113411216,34.864894351038735,No,College,Unemployed,Short Term,Environmental Impact
Kathy Ryan,Female,24,112361.38136342008,28602.31824618602,38651.63877859495,92069.00429808252,0.13021825239888996,87.04265359392946,No,Graduate,Employed,Medium Term,Environmental Impact
Ann Jenkins,Female,39,79687.1363293033,19049.691211306676,25096.769483684868,54675.97470337794,0.07860496211651757,41.757515431326944,Yes,Graduate,Employed,Medium Term,Social Responsibility
Michael Marshall,Male,63,99796.24938573933,20742.479730917985,36469.014903277406,197542.8153297761,0.6908181366549706,57.305909178928935,Yes,College,Employed,Long Term,Social Responsibility
Martin Fowler,Female,23,64259.55699356303,12465.574786403973,12280.78029686613,143976.62714228762,0.7840297230461403,56.57639760700942,Yes,Graduate,Unemployed,Short Term,Environmental Impact
Frank Rogers,Male,50,78028.51146746367,40089.40568461148,14650.616369213603,176360.8662403779,0.07773529752199648,90.02872879641,No,High School,Unemployed,Long Term,Social Responsibility
Clarence Moore,Male,59,62333.35999964182,36698.73836538274,23025.240789157528,135647.24617342174,0.7746923080403721,78.13493488528253,Yes,College,Unemployed,Short Term,Governance
